roi_index,status,reason,ref_y1,ref_y2,tgt_y1,tgt_y2,ref_kp,tgt_kp,initial_matches,good_matches,inlier_matches,inlier_ratio_pct,reprojection_rmse_px,median_error_px,max_error_px,grid_occupancy_pct,bbox_coverage_pct,spatial_assessment,homography,processing_time_ms
1,SUCCESS,passed all usability criteria,0,2000,0,2880,2000,1998,2000,874,772,88.33,1.2741,0.9633,2.9992,87.5,98.37,widely_distributed,"[[0.9814717651360798, 0.051661895127982624, -56.732751055179094], [-0.07161839734136427, 0.9910980161297337, -200.22284622114933], [-2.6009263157069566e-07, -1.786781526499891e-06, 1.0]]",655.46
2,SUCCESS,passed all usability criteria,1500,3500,1380,4380,1993,1999,1993,377,309,81.96,0.8027,0.4474,2.8967,50.0,67.94,moderately_distributed,"[[0.9800343296733911, 0.05318593431119123, 15.964656120772469], [-0.07122463911544151, 0.9916969907679447, -327.2907473487451], [-3.202216693934949e-06, -2.8006445328501853e-07, 1.0]]",650.23
3,SUCCESS,passed all usability criteria,3000,5000,2880,5880,2000,2000,2000,591,587,99.32,0.7313,0.5354,2.1723,87.5,70.37,widely_distributed,"[[0.9856765868554943, 0.053426200115178936, 102.97882833025591], [-0.06828998661257006, 0.9956334084524561, -336.4603225502085], [7.571482733492323e-07, -6.802896204960699e-08, 1.0]]",641.54
4,SUCCESS,passed all usability criteria,4500,6500,4380,7380,2000,2000,2000,541,519,95.93,1.1589,0.6438,2.992,87.5,76.75,widely_distributed,"[[0.9844204076671798, 0.052659440288028485, 186.135813024995], [-0.06907355152991453, 0.9994611186308721, -345.19944071325114], [1.5969539079658671e-06, 1.8957458763197743e-06, 1.0]]",650.43
5,SUCCESS,passed all usability criteria,6000,8000,5880,8880,2000,2000,2000,458,384,83.84,1.3601,1.0591,2.992,68.75,73.28,moderately_distributed,"[[0.9746429371400399, 0.052635627688665206, 265.96540571540106], [-0.0704967524349368, 0.9934159041435435, -348.8316555570444], [5.206798166481161e-07, -9.573486553457463e-07, 1.0]]",670.6
6,SUCCESS,passed all usability criteria,7500,9014,7380,9014,2000,2000,2000,597,544,91.12,0.9947,0.697,2.943,75.0,55.37,moderately_distributed,"[[1.0082502429065945, 0.03897872987672699, 340.1398064590753], [-0.061670362994694895, 0.9923891486162331, -358.78266983707147], [3.80439715243746e-06, -6.97807657692921e-07, 1.0]]",486.56
